Id;DATE_DERNIERE_MAJ;INTERET;TYPE;THEME;EVENEMENT_CADRE;NOM_OFFRE;LIEU;RUE;CODE_POSTAL;COMMUNE;COMMUNE_INSEE;TEL;TEL_MOB;MEL;SITE_WEB;LONGITUDE;LATITUDE;GEOLOC_MANUELLE;LABEL_TOURISME_HANDICAP;MARQUES_LABELS;DATES;TARIFS
"FMAAQU033V50IL6F";"08/09/2018";"Promotion régionale";"Divertissement # Festival";"Cinéma # Vin / œnologie / spiritueux";"";"""Festival International du Film de Terroir"" du 20 au 23 Septembre 2018";"Avenue André Lafon";"";"33820";"SAINT-CIERS-SUR-GIRONDE";"33389";"+33 5 57 32 70 81";"";"";"";" -0.6146620";"45.2915210";"";"";"";"20/09/2018|23/09/2018|||||";""
"FMAAQU033V50L5JE";"13/06/2018";"Promotion régionale";"Spectacle";"";"";"""Floriane Tiozzo ; çà parle de Vie""";"Centre bourg ";"";"33460";"MACAU";"33262";"";"";"";"https://www.florianetiozzo.com # http://www.scenesdete.fr/spectacle-festival/ca-parle-de-vie-2";" -0.6123959";"45.0074711";"Oui";"";"";"07/09/2018|07/09/2018|20:00||||";""
"FMAAQU033V50L5LG";"21/08/2018";"Promotion régionale";"Spectacle";"";"";"""Floriane Tiozzo ; çà parle de Vie""  ";"Salle Polyvalente";"Rue André Dubourg";"33720";"LANDIRAS";"33225";"";"";"";"https://www.florianetiozzo.com # http://www.scenesdete.fr/spectacle-festival/ca-parle-de-vie-2";" -0.4166582";"44.56497";"Oui";"";"";"08/09/2018|08/09/2018|19:00||||";""
"FMAAQU040V50ICJB";"19/06/2018";"Promotion régionale";"Brocante";"";"";"""La Brocante du mardi au jardin public""    ";"Parc Rosny";"";"40150";"SOORTS-HOSSEGOR";"40304";"";"";"";"";" -1.4280765";"43.6608820";"Oui";"";"";"04/09/2018|04/09/2018|09:00|17:00|||";""
"FMAAQU040V50ICJH";"19/06/2018";"Promotion régionale";"Brocante";"";"";"""La Brocante du mardi au jardin public""  ";"Parc Rosny";"";"40150";"SOORTS-HOSSEGOR";"40304";"";"";"";"";" -1.4280765";"43.6608820";"Oui";"";"";"18/09/2018|18/09/2018|09:00|17:00|||";""
"FMAAQU040V50ICJI";"19/06/2018";"Promotion régionale";"Brocante";"";"";"""La Brocante du mardi au jardin public""    ";"Parc Rosny";"";"40150";"SOORTS-HOSSEGOR";"40304";"";"";"";"";" -1.4280765";"43.6608820";"Oui";"";"";"11/09/2018|11/09/2018|09:00|17:00|||";""
"FMAAQU040V50ICJK";"19/06/2018";"Promotion régionale";"Brocante";"";"";"""La Brocante du mardi au jardin public""  ";"Parc Rosny";"";"40150";"SOORTS-HOSSEGOR";"40304";"";"";"";"";" -1.4280765";"43.6608820";"Oui";"";"";"25/09/2018|25/09/2018|09:00|17:00|||";""
"FMAAQU064V58RJZU";"07/09/2018";"Promotion régionale";"Spectacle # Théâtre";"";"";"""La légende de la Chambre d’Amour"" par le Théâtre du Versant";"Espace de l'Océan";"Esplanade des Docteurs Gentilhe";"64600";"ANGLET";"64024";"+33 5 59 58 35 60";"";"";"https://www.anglet.fr/sorties/reservez-en-ligne-vos-animations-autour-de-la-biennale";" -1.5431936";"43.4993777";"Oui";"";"";"22/09/2018|22/09/2018|18:00||||";"Gratuit|0,00||"
"FMAAQU064V58RKCI";"07/09/2018";"Promotion régionale";"Spectacle # Théâtre";"";"";"""La légende de la Chambre d’Amour"" par le Théâtre du Versant";"Espace de l'Océan";"Esplanade des Docteurs Gentilhe";"64600";"ANGLET";"64024";"+33 5 59 58 35 60";"";"";"https://www.anglet.fr/sorties/reservez-en-ligne-vos-animations-autour-de-la-biennale";" -1.5431936";"43.4993777";"Oui";"";"";"23/09/2018|23/09/2018|18:00||||";"Gratuit|0,00||"
"FMAAQU064V58T9DX";"03/09/2018";"Promotion locale";"Exposition";"";"";"""Les sorcières : Mythes ou réalité?""";"Bibliothèque";"Place Huningue";"64530";"PONTACQ";"64453";"";"+33 6 77 01 16 24";"l.debon@cc-nordestbearn.fr";"";" -0.1140617";"43.1861823";"Oui";"";"";"03/09/2018|28/09/2018|||||";"Gratuit|0,00||"
"FMAAQU033V509EUS";"27/03/2018";"Promotion régionale";"Animation patrimoine # Visite";"";"";"""L'huître de la tuile à l'assiette""";"Office de tourisme Coeur du Bassin";"24 allées de Boissière";"33980";"AUDENGE";"33019";"+33 5 57 70 67 56";"";"";"";" -1.0153751";"44.6836986";"Oui";"";"";"10/07/2018|10/07/2018|10:00|12:00||| # 17/07/2018|17/07/2018|10:00|12:00||| # 14/08/2018|14/08/2018|10:00|12:00||| # 21/08/2018|21/08/2018|10:00|12:00||| # 11/09/2018|11/09/2018|10:00|12:00||| # 18/09/2018|18/09/2018|10:00|12:00|||";"Plein tarif|8,50||adulte # Tarif réduit|4,00||enfant de 11 à 17 ans # Gratuit|||enfants de moins de 10 ans"
"FMAAQU024V50CBY1";"05/09/2018";"Promotion locale";"Théâtre";"";"";"""LUI !""";"Théâtre de Poche";"31-33 boulevard Eugène Leroy";"24200";"SARLAT-LA-CANEDA";"24520";"";"";"";"https://www.theatredepochesarlat.fr";"1.21454349";"44.8896656";"Oui";"";"";"06/09/2018|08/09/2018|||||";""
"FMAAQU064V58KS2S";"15/07/2018";"Promotion régionale";"Divertissement";"Cinéma";"";"""Où est la maison de mon ami"" - Abbas Kiarostami";"Cinéma ";"Rue Saint-Michel";"64260";"ARUDY";"64062";"";"";"";"";" -0.430999";"43.103144";"Oui";"";"";"12/09/2018|12/09/2018|20:30||||";"Plein tarif|||Tarif habituel "
"FMAAQU033V50JJA1";"27/03/2018";"Promotion régionale";"Loisir nature # Visite";"Nature";"";"""Votre mission, si vous l'acceptez...""";"Office de tourisme Coeur du Bassin";"1 route du stade";"33138";"LANTON";"33229";"+33 5 57 70 67 56";"";"";"";" -1.0600729";"44.7147669";"Oui";"";"";"12/07/2018|12/07/2018|10:30|12:00||| # 26/07/2018|26/07/2018|10:30|12:00||| # 09/08/2018|09/08/2018|10:30|10:30||| # 23/08/2018|23/08/2018|10:30|10:30||| # 15/09/2018|15/09/2018|14:30|16:00||| # 29/09/2018|29/09/2018|14:30|16:00|||";"Plein tarif|6,50|6,50|pour les 11 à 16 ans # Tarif réduit|2,00||par parent supplémentaire # Gratuit|||Gratuit pour 1 parent accompagnant"
"FMAAQU040V5079QG";"25/07/2018";"Promotion régionale";"Exposition";"Photographie";"";"« Paysages en mouvement, l’Observatoire photographique du Parc naturel régional des Landes de Gascogne »";"Pavillon de Marquèze";"Route de la gare";"40630";"SABRES";"40246";"+33 5 58 08 31 31";"";"ecomusee-marqueze@parc-landes-de-gascogne.fr";"http://www.marqueze.fr/ma-visite/les-expositions.html";" -0.7468427";"44.1494408";"Oui";"";"";"31/03/2018|04/11/2018|10:30|18:00|||";"Plein tarif|5,00|5,00|par adulte # Tarif réduit|4,00|4,00|(senior + 68 ans, étudiant, demandeur d'emploi...) # Plein tarif|3,50|3,50|jeune de 4 à 18 ans"
"FMAAQU033V50HHGW";"30/07/2018";"Promotion locale";"Animations locales";"Sport collectif";"";"« PSC SUMMER CHALLENGE #2 » Promenade Sainte-Catherine à Bordeaux";"Promenade Sainte Catherine";"25 rue Sainte Catherine";"33000";"BORDEAUX";"33063";"";"";"";"https://www.facebook.com/promenadesaintecatherine/";" -0.5749925";"44.8402434";"Oui";"";"";"08/07/2018|16/09/2018|11:00|12:30|||Jeudi Lundi Mardi Mercredi Samedi Vendredi matin";"Gratuit|||"
"FMAAQU064V58TUZY";"09/09/2018";"Promotion locale";"Compétition sportive";"Golf";"";"1° Coupe du Cinquau";"Golf Blue Green Pau Artiguelouve";"Domaine de Saint Michel";"64230";"ARTIGUELOUVE";"64060";"+33 5 59 83 09 29";"";"";"https://pau-artiguelouve.bluegreen.com/fr ";" -0.4584065";"43.3190689";"Oui";"";"";"30/09/2018|30/09/2018|||||";""
"FMAAQU033V50N2E5";"08/09/2018";"Promotion locale";"Animation patrimoine # Brocante # Divertissement # Vide greniers Braderie";"Gastronomie";"";"10 ème foire aux livres et aux jouets - brocante - vide grenier";"";"Le bourg";"33820";"SAINT-PALAIS";"33456";"";"+33 6 86 79 42 02 # +33 6 19 60 83 45";"";"";" -0.5903434";"45.3143438";"Oui";"";"";"22/09/2018|23/09/2018|||||";"Gratuit|||"
"FMAAQU064V55WC5N";"13/09/2018";"Promotion locale";"Exposition";"Artisanat # Arts créatifs/Arts plastiques";"";"10° Carrefour des arts ";"Haras national pau gelos";"1 rue du Mal Leclerc";"64110";"GELOS";"64237";"+33 5 59 06 63 25";"";"mairie@gelos.fr";"http://www.gelos.fr";" -0.3678907";"43.2838229";"Oui";"";"";"14/09/2018|16/09/2018|||||";""
"FMAAQU064V58CLSQ";"24/08/2018";"Promotion locale";"Animations locales # Concert";"Musique classique # Musique contemporaine # Musique de variété # Musique du monde # Musique folklorique (country) # Musique sacrée # Musique traditionnelle";"Fête de la musique";"10ème édition de music'assat";"Esplanade derrière l'église";"";"64510";"ASSAT";"64067";"";"";"";"";" -0.2999568";"43.251674";"Oui";"";"";"22/09/2018|22/09/2018|17:00|02:00|||";"Gratuit|0,00|0,00|"
"FMAAQU033V50G8BH";"13/09/2018";"Promotion régionale";"Compétition sportive";"Randonnée # Trail";"";"10ème édition Raid de l'Isle ";"";"";"33660";"SAINT-SEURIN-SUR-L'ISLE";"33478";"+33 5 57 49 70 10";"";"";"http://www.stseurinsurlisle.com/";" -0.0015019";"45.014104";"Oui";"";"";"30/09/2018|30/09/2018|||||";""
"FMAAQU047V50A0QU";"28/08/2018";"Promotion régionale";"Compétition sportive # Loisir nature";"Athlétisme gymnastique # Randonnée # Sport collectif";"";"11ème Foulées monflanquinoises";"Terrain de rugby";"Stade de Coulon";"47150";"MONFLANQUIN";"47175";"";"+33 6 08 35 07 54 # +33 6 81 36 98 81";"";"https://www.challenge-trails47.com/ # http://lesfouleesmonflanquinoises.com/";"0.7677170";"44.5327480";"";"";"";"02/09/2018|02/09/2018|09:00||||";""
"FMAAQU033V50JIZW";"08/06/2018";"Promotion locale";"Rallye";"Course à pied";"";"12ème Raid Hyper U du Bassin d'Arcachon";"";"Plage de la Hume";"33470";"GUJAN-MESTRAS";"33199";"";"+33 6 50 86 18 63 # +33 6 62 05 97 77";"ucgm@orange.fr";"https://www.chronom.org/ # http://www.ville-gujanmestras.fr/sites/default/files/atoms/files/telechargez_le_reglement_du_raid_hyper_u.pdf";" -1.1165651";"44.6420653";"Oui";"";"";"29/09/2018|29/09/2018|10:00||||";"Plein tarif|58,00|58,00|Par équipe"
"FMAAQU064V588F1D";"30/08/2018";"Promotion locale";"Concert";"Historique # Musique classique # Patrimoine culturel # Vin / œnologie / spiritueux";"";"12èmes dégustations musicales : Les mots et les notes de Gurs";"Domaine Bordenave";"Chemin Bordenave";"64360";"MONEIN";"64393";"+33 5 59 12 30 40 # +33 5 59 21 34 83 # +33 5 59 82 70 30";"";"";"http://www.domaine-bordenave.com/";" -0.552826";"43.299572";"Oui";"";"Vignobles et découvertes";"23/09/2018|23/09/2018|11:00||||";"Plein tarif|12,00||Plein Tarif # Tarif réduit|6,00||Tarif réduit -18 ans et demandeurs d'emplois"
"FMAAQU064V588F11";"30/08/2018";"Promotion locale";"Concert";"Musique classique # Musique du monde # Vin / œnologie / spiritueux";"";"12èmes dégustations musicales : Les Percu T";"Domaine Bordenave";"Chemin Bordenave";"64360";"MONEIN";"64393";"+33 5 59 12 30 40 # +33 5 59 21 34 83 # +33 5 59 82 70 30";"";"";"http://www.domaine-bordenave.com/";" -0.552826";"43.299572";"Oui";"";"Vignobles et découvertes";"22/09/2018|22/09/2018|20:45||||";"Plein tarif|12,00||Plein Tarif le soir même # Plein tarif|10,00||Plein Tarif sur réservation # Tarif réduit|6,00||Tarif réduit -18 ans et demandeurs d'emplois"
"FMAAQU064V588F0N";"30/08/2018";"Promotion locale";"Concert";"Musique classique # Vin / œnologie / spiritueux";"";"12èmes dégustations musicales : Quatuor Art-Chai";"Domaine Bordenave";"Chemin Bordenave";"64360";"MONEIN";"64393";"+33 5 59 12 30 40 # +33 5 59 21 34 83 # +33 5 59 82 70 30";"";"";"http://www.domaine-bordenave.com/";" -0.552826";"43.299572";"Oui";"";"Vignobles et découvertes";"21/09/2018|21/09/2018|20:45||||";"Plein tarif|12,00||Plein Tarif # Plein tarif|10,00||Plein Tarif sur réservation # Tarif réduit|6,00||Tarif réduit -18 ans et demandeurs d'emplois"
"FMAAQU064V584042";"27/08/2018";"Promotion locale";"Compétition sportive";"Pelote basque";"";"13ème trophée Elite pro : demi-finales";"Trinquet Urrüpean";"";"64130";"GARINDEIN";"64231";"";"+33 6 83 77 10 06";"";"";" -0.9042770";"43.2067623";"Oui";"";"";"21/09/2018|21/09/2018|19:00||||";""
"FMAAQU064V58SGU5";"27/08/2018";"Promotion locale";"Compétition sportive";"Pelote basque";"";"13ème trophée Elite pro : finale";"Trinquet Urrüpean";"";"64130";"GARINDEIN";"64231";"";"+33 6 83 77 10 06";"";"";" -0.9042770";"43.2067623";"Oui";"";"";"23/09/2018|23/09/2018|10:00||||";""
"FMAAQU040V50J9SE";"11/08/2018";"Promotion locale";"Concert # Spectacle";"Fanfares bandas";"";"140 ème anniversaire de l'Union Musicale de Saint-Justin";"Place de la Fraternité";"";"40240";"SAINT-JUSTIN";"40267";"";"+33 6 02 61 85 16";"";"";" -0.2312761";"43.9810397";"Oui";"";"";"08/09/2018|08/09/2018|16:00||||";"Plein tarif|25,00||"
"FMAAQU040V501M6F";"23/08/2018";"Promotion régionale";"Divertissement # Exposition";"Animaux";"";"14ème Foire d'oiseaux exotiques et d'animaux de basse cour";"Saint Yaguen";"";"40400";"SAINT-YAGUEN";"40285";"";"+33 6 03 06 31 37 # +33 6 66 53 26 05";"";"";" -0.7416390";"43.8892570";"Oui";"";"";"23/09/2018|23/09/2018|09:00|17:00|||";"Plein tarif||3,00|Adulte # Gratuit|||Enfant de moins de 12 ans."
"FMAAQU047FS00M10";"31/08/2018";"Promotion régionale";"Animations locales # Compétition sportive";"Course à pied # Vélo";"";"14ème Virades de l'espoir";"Centre de loisirs Monplaisir";"";"47230";"BARBASTE";"47021";"";"+33 6 74 23 95 48";"vbordes@laposte.net";"http://www.vaincrelamuco.org";"0.2870580";"44.1707180";"";"";"";"30/09/2018|30/09/2018|08:30|16:30|||";""
"FMAAQU024V506L8Y";"06/08/2018";"Promotion régionale";"Animations locales";"Agriculture # Animaux # Gastronomie";"";"181ème Comice agricole";"place de la République";"";"24110";"SAINT-ASTIER";"24372";"";"+33 6 81 67 04 32";"";"";"0.52830570";"45.1453305";"Oui";"";"";"23/09/2018|23/09/2018|09:00||||";""
"FMAAQU047FS006HO";"04/09/2018";"Promotion régionale";"Concert # Festival";"Musique du monde # Pop musique (rock, pop, rap, …)";"";"18ème Festival itinérant Abracada'Sons";"Salle la Basane";"ZA La Brisse";"47800";"MIRAMONT-DE-GUYENNE";"47168";"+33 5 53 93 38 94";"";"asso.staccato@wanadoo.fr ";"http://www.facebook.com/staccatocrew # http://www.staccato-asso-47.blogspot.fr/ # http://www.weezevent.com";"0.34829019";"44.5940426";"Oui";"";"";"29/09/2018|29/09/2018|21:00||||";"Plein tarif|14,00|14,00|Prix sur place # Tarif réduit|12,00|12,00|Prix prévente # Tarif réduit|12,00|12,00|prix adhérent Staccato"
"FMAAQU047V50BNUJ";"04/09/2018";"Promotion régionale";"Concert # Festival";"Musique traditionnelle";"";"18ème Festival itinérant Abracada'Sons";"Salle la Basane";"ZA La Brisse";"47800";"MIRAMONT-DE-GUYENNE";"47168";"+33 5 53 93 38 94";"";"asso.staccato@wanadoo.fr ";"http://www.facebook.com/staccatocrew # http://www.staccato-asso-47.blogspot.fr/ # http://www.weezevent.com";"0.34829019";"44.5940426";"Oui";"";"";"26/09/2018|26/09/2018|15:00||||";"Plein tarif|5,00|5,00|entrée générale"
"FMAAQU047V5083G1";"04/09/2018";"Promotion régionale";"Concert # Festival";"Musique contemporaine # Pop musique (rock, pop, rap, …)";"";"18ème Festival Itinérant Abracada'Sons ";"salle polyvalente";"";"47410";"LAUZUN";"47142";"+33 5 53 20 10 07";"";"asso.staccato@wanadoo.fr ";"http://www.facebook.com/staccatocrew # http://www.staccato-asso-47.blogspot.fr/ # http://www.weezevent.com # http://www.fnac.com";"0.45968769";"44.6282292";"Oui";"";"";"15/09/2018|15/09/2018|20:00||||";"Plein tarif|22,00|22,00|entrée sur place # Tarif réduit|20,00|20,00|entrée en prévente"
"FMAAQU033V50KG5B";"05/05/2018";"Promotion locale";"Animations locales";"Vin / œnologie / spiritueux";"";"18H55 Afterwork en Médoc au Château Malescasse";"";"6 Chemin du Moulin Rose";"33460";"LAMARQUE";"33220";"+33 5 56 58 90 09";"";"contact@chateau-malescasse.fr";"";" -0.7159957";"45.0885386";"Oui";"";"";"06/09/2018|06/09/2018|18:30|21:00|||";"Plein tarif|20,00||"
"FMAAQU040V50GKB6";"10/08/2018";"Promotion nationale";"Concert # Festival";"Musique du monde";"";"19ème festival Latinossegor";"Place des Landais";"";"40150";"SOORTS-HOSSEGOR";"40304";"+33 5 58 41 79 00";"";"tourisme@hossegor.fr";"";" -1.4429306";"43.6628884";"Oui";"";"";"31/08/2018|02/09/2018|||||";""
